pokedex_number,name,japanese_name,type1,type2,classfication,height_m,weight_kg,generation,is_legendary,attack,defense,hp,speed,sp_attack,sp_defense,base_total,capture_rate,experience_growth,percentage_male,base_happiness,base_egg_steps,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
117,Seadra,Seadraシードラ,water,NA,Dragon Pokémon,1.2,25,1,0,65,95,55,85,95,45,440,75,1000000,50,70,5120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
118,Goldeen,Tosakintoトサキント,water,NA,Goldfish Pokémon,0.6,15,1,0,67,60,45,63,35,50,320,225,1000000,50,70,5120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
119,Seaking,Azumaoアズマオウ,water,NA,Goldfish Pokémon,1.3,39,1,0,92,65,80,68,65,80,450,60,1000000,50,70,5120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
120,Staryu,Hitodemanヒトデマン,water,NA,Starshape Pokémon,0.8,34.5,1,0,45,55,30,85,70,55,340,225,1250000,NA,70,5120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
121,Starmie,Starmieスターミー,water,psychic,Mysterious Pokémon,1.1,80,1,0,75,85,60,115,100,85,520,60,1250000,NA,70,5120,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5
122,Mr. Mime,Barrierdバリヤード,psychic,fairy,Barrier Pokémon,1.3,54.5,1,0,45,65,40,90,100,120,460,45,1000000,50,70,6400,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1
123,Scyther,Strikeストライク,bug,flying,Mantis Pokémon,1.5,56,1,0,110,80,70,105,55,80,500,45,1000000,50,70,6400,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
124,Jynx,Rougelaルージュラ,ice,psychic,Humanshape Pokémon,1.4,40.6,1,0,50,35,65,95,115,95,455,45,1000000,0,70,6400,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1
125,Electabuzz,Elebooエレブー,electric,NA,Electric Pokémon,1.1,30,1,0,83,57,65,105,95,85,490,45,1000000,75.4,70,6400,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
126,Magmar,Booberブーバー,fire,NA,Spitfire Pokémon,1.3,44.5,1,0,95,57,65,93,100,85,495,45,1000000,75.4,70,6400,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
127,Pinsir,Kailiosカイロス,bug,NA,Stagbeetle Pokémon,1.5,55,1,0,155,120,65,105,65,90,600,45,1250000,50,70,6400,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
128,Tauros,Kentaurosケンタロス,normal,NA,Wild Bull Pokémon,1.4,88.4,1,0,100,95,75,110,40,70,490,45,1250000,100,70,5120,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
129,Magikarp,Koikingコイキング,water,NA,Fish Pokémon,0.9,10,1,0,10,55,20,80,15,20,200,255,1250000,50,70,1280,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
130,Gyarados,Gyaradosギャラドス,water,flying,Atrocious Pokémon,6.5,235,1,0,155,109,95,81,70,130,640,45,1250000,50,70,1280,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5
131,Lapras,Laplaceラプラス,water,ice,Transport Pokémon,2.5,220,1,0,85,80,130,60,85,95,535,45,1250000,50,70,10240,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5
132,Ditto,Metamonメタモン,normal,NA,Transform Pokémon,0.3,4,1,0,48,48,48,48,48,48,288,35,1000000,NA,70,5120,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
133,Eevee,Eievuiイーブイ,normal,NA,Evolution Pokémon,0.3,6.5,1,0,55,50,55,55,45,65,325,45,1000000,88.1,70,8960,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
134,Vaporeon,Showersシャワーズ,water,NA,Bubble Jet Pokémon,1,29,1,0,65,60,130,65,110,95,525,45,1000000,88.1,70,8960,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
135,Jolteon,Thundersサンダース,electric,NA,Lightning Pokémon,0.8,24.5,1,0,65,60,65,130,110,95,525,45,1000000,88.1,70,8960,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
136,Flareon,Boosterブースター,fire,NA,Flame Pokémon,0.9,25,1,0,130,60,65,65,95,110,525,45,1000000,88.1,70,8960,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
137,Porygon,Porygonポリゴン,normal,NA,Virtual Pokémon,0.8,36.5,1,0,60,70,65,40,85,75,395,45,1000000,NA,70,5120,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
138,Omanyte,Omniteオムナイト,rock,water,Spiral Pokémon,0.4,7.5,1,0,40,100,35,35,90,55,355,45,1000000,88.1,70,7680,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
139,Omastar,Omstarオムスター,rock,water,Spiral Pokémon,1,35,1,0,60,125,70,55,115,70,495,45,1000000,88.1,70,7680,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
140,Kabuto,Kabutoカブト,rock,water,Shellfish Pokémon,0.5,11.5,1,0,80,90,30,55,55,45,355,45,1000000,88.1,70,7680,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
141,Kabutops,Kabutopsカブトプス,rock,water,Shellfish Pokémon,1.3,40.5,1,0,115,105,60,80,65,70,495,45,1000000,88.1,70,7680,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
142,Aerodactyl,Pteraプテラ,rock,flying,Fossil Pokémon,1.8,59,1,0,135,85,80,150,70,95,615,45,1250000,88.1,70,8960,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2
143,Snorlax,Kabigonカビゴン,normal,NA,Sleeping Pokémon,2.1,460,1,0,110,65,160,30,65,110,540,25,1250000,88.1,70,10240,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
144,Articuno,Freezerフリーザー,ice,flying,Freeze Pokémon,1.7,55.4,1,1,85,100,90,85,95,125,580,3,1250000,NA,35,20480,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1
145,Zapdos,Thunderサンダー,electric,flying,Electric Pokémon,1.6,52.6,1,1,90,85,90,100,125,90,580,3,1250000,NA,35,20480,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1
146,Moltres,Fireファイヤー,fire,flying,Flame Pokémon,2,60,1,1,100,90,90,90,125,85,580,3,1250000,NA,35,20480,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2
147,Dratini,Miniryuミニリュウ,dragon,NA,Dragon Pokémon,1.8,3.3,1,0,64,45,41,50,50,50,300,45,1250000,50,35,10240,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5
148,Dragonair,Hakuryuハクリュー,dragon,NA,Dragon Pokémon,4,16.5,1,0,84,65,61,70,70,70,420,45,1250000,50,35,10240,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5
149,Dragonite,Kairyuカイリュー,dragon,flying,Dragon Pokémon,2.2,210,1,0,134,95,91,80,100,100,600,45,1250000,50,35,10240,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5
150,Mewtwo,Mewtwoミュウツー,psychic,NA,Genetic Pokémon,2,122,1,1,150,70,106,140,194,120,780,3,1250000,NA,0,30720,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
151,Mew,Mewミュウ,psychic,NA,New Species Pokémon,0.4,4,1,1,100,100,100,100,100,100,600,45,1059860,NA,100,30720,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
152,Chikorita,Chicoritaチコリータ,grass,NA,Leaf Pokémon,0.9,6.4,2,0,49,65,45,45,49,65,318,45,1059860,88.1,70,5120,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
153,Bayleef,Bayleafベイリーフ,grass,NA,Leaf Pokémon,1.2,15.8,2,0,62,80,60,60,63,80,405,45,1059860,88.1,70,5120,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
154,Meganium,Meganiumメガニウム,grass,NA,Herb Pokémon,1.8,100.5,2,0,82,100,80,80,83,100,525,45,1059860,88.1,70,5120,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
155,Cyndaquil,Hinoarashiヒノアラシ,fire,NA,Fire Mouse Pokémon,0.5,7.9,2,0,52,43,39,65,60,50,309,45,1059860,88.1,70,5120,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
156,Quilava,Magmarashiマグマラシ,fire,NA,Volcano Pokémon,0.9,19,2,0,64,58,58,80,80,65,405,45,1059860,88.1,70,5120,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
157,Typhlosion,Bakphoonバクフーン,fire,NA,Volcano Pokémon,1.7,79.5,2,0,84,78,78,100,109,85,534,45,1059860,88.1,70,5120,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
158,Totodile,Waninokoワニノコ,water,NA,Big Jaw Pokémon,0.6,9.5,2,0,65,64,50,43,44,48,314,45,1059860,88.1,70,5120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
159,Croconaw,Alligatesアリゲイツ,water,NA,Big Jaw Pokémon,1.1,25,2,0,80,80,65,58,59,63,405,45,1059860,88.1,70,5120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
160,Feraligatr,Ordileオーダイル,water,NA,Big Jaw Pokémon,2.3,88.8,2,0,105,100,85,78,79,83,530,45,1059860,88.1,70,5120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
161,Sentret,Otachiオタチ,normal,NA,Scout Pokémon,0.8,6,2,0,46,34,35,20,35,45,215,255,1000000,50,70,3840,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
162,Furret,Ootachiオオタチ,normal,NA,Long Body Pokémon,1.8,32.5,2,0,76,64,85,90,45,55,415,90,1000000,50,70,3840,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
163,Hoothoot,Hohoホーホー,normal,flying,Owl Pokémon,0.7,21.2,2,0,30,30,60,50,36,56,262,255,1000000,50,70,3840,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
164,Noctowl,Yorunozukuヨルノズク,normal,flying,Owl Pokémon,1.6,40.8,2,0,50,50,100,70,86,96,452,90,1000000,50,70,3840,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
165,Ledyba,Redibaレディバ,bug,flying,Five Star Pokémon,1,10.8,2,0,20,30,40,55,40,80,265,255,800000,50,70,3840,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
166,Ledian,Redianレディアン,bug,flying,Five Star Pokémon,1.4,35.6,2,0,35,50,55,85,55,110,390,90,800000,50,70,3840,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
167,Spinarak,Itomaruイトマル,bug,poison,String Spit Pokémon,0.5,8.5,2,0,60,40,40,30,40,40,250,255,800000,50,70,3840,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
168,Ariados,Ariadosアリアドス,bug,poison,Long Leg Pokémon,1.1,33.5,2,0,90,70,70,40,60,70,400,90,800000,50,70,3840,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
169,Crobat,Crobatクロバット,poison,flying,Bat Pokémon,1.8,75,2,0,90,80,85,130,70,80,535,90,1000000,50,70,3840,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1
170,Chinchou,Chonchieチョンチー,water,electric,Angler Pokémon,0.5,12,2,0,38,38,75,67,56,56,330,190,1250000,50,70,5120,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5
171,Lanturn,Lanternランターン,water,electric,Light Pokémon,1.2,22.5,2,0,58,58,125,67,76,76,460,75,1250000,50,70,5120,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5
172,Pichu,Pichuピチュー,electric,NA,Tiny Mouse Pokémon,0.3,2,2,0,40,15,20,60,35,35,205,190,1000000,50,70,2560,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
173,Cleffa,Pyピィ,fairy,NA,Star Shape Pokémon,0.3,3,2,0,25,28,50,15,45,55,218,150,800000,24.6,140,2560,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
174,Igglybuff,Pupurinププリン,normal,fairy,Balloon Pokémon,0.3,1,2,0,30,15,90,15,40,20,210,170,800000,24.6,70,2560,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1
175,Togepi,Togepyトゲピー,fairy,NA,Spike Ball Pokémon,0.3,1.5,2,0,20,65,35,20,40,65,245,190,800000,88.1,70,2560,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
176,Togetic,Togechickトゲチック,fairy,flying,Happiness Pokémon,0.6,3.2,2,0,40,85,55,40,80,105,405,75,800000,88.1,70,2560,0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1
177,Natu,Natyネイティ,psychic,flying,Little Bird Pokémon,0.2,2,2,0,50,45,40,70,70,45,320,190,1000000,50,70,5120,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1
178,Xatu,Natioネイティオ,psychic,flying,Mystic Pokémon,1.5,15,2,0,75,70,65,95,95,70,470,75,1000000,50,70,5120,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1
179,Mareep,Merriepメリープ,electric,NA,Wool Pokémon,0.6,7.8,2,0,40,40,55,35,65,45,280,235,1059860,50,70,5120,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
180,Flaaffy,Mokokoモココ,electric,NA,Wool Pokémon,0.8,13.3,2,0,55,55,70,45,80,60,365,120,1059860,50,70,5120,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
181,Ampharos,Denryuデンリュウ,electric,NA,Light Pokémon,1.4,61.5,2,0,95,105,90,45,165,110,610,45,1059860,50,70,5120,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
182,Bellossom,Kireihanaキレイハナ,grass,NA,Flower Pokémon,0.4,5.8,2,0,80,95,75,50,90,100,490,45,1059860,50,70,5120,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
183,Marill,Marilマリル,water,fairy,Aquamouse Pokémon,0.4,8.5,2,0,20,50,70,40,20,50,250,190,800000,50,70,2560,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5
184,Azumarill,Marilliマリルリ,water,fairy,Aquarabbit Pokémon,0.8,28.5,2,0,50,80,100,50,60,80,420,75,800000,50,70,2560,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5
185,Sudowoodo,Usokkieウソッキー,rock,NA,Imitation Pokémon,1.2,38,2,0,100,115,70,30,30,65,410,65,1000000,50,70,5120,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
186,Politoed,Nyorotonoニョロトノ,water,NA,Frog Pokémon,1.1,33.9,2,0,75,75,90,70,90,100,500,45,1059860,50,70,5120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
187,Hoppip,Haneccoハネッコ,grass,flying,Cottonweed Pokémon,0.4,0.5,2,0,35,40,35,50,35,55,250,255,1059860,50,70,5120,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5
188,Skiploom,Popoccoポポッコ,grass,flying,Cottonweed Pokémon,0.6,1,2,0,45,50,55,80,45,65,340,120,1059860,50,70,5120,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5
189,Jumpluff,Wataccoワタッコ,grass,flying,Cottonweed Pokémon,0.8,3,2,0,55,70,75,110,55,95,460,45,1059860,50,70,5120,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5
190,Aipom,Eipamエイパム,normal,NA,Long Tail Pokémon,0.8,11.5,2,0,70,55,55,85,40,55,360,45,800000,50,70,5120,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
191,Sunkern,Himanutsヒマナッツ,grass,NA,Seed Pokémon,0.3,1.8,2,0,30,30,30,30,30,30,180,235,1059860,50,70,5120,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
192,Sunflora,Kimawariキマワリ,grass,NA,Sun Pokémon,0.8,8.5,2,0,75,55,75,30,105,85,425,120,1059860,50,70,5120,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
193,Yanma,Yanyanmaヤンヤンマ,bug,flying,Clear Wing Pokémon,1.2,38,2,0,65,45,65,95,75,45,390,75,1000000,50,70,5120,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
194,Wooper,Upahウパー,water,ground,Water Fish Pokémon,0.4,8.5,2,0,45,45,55,15,25,25,210,255,1000000,50,70,5120,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
195,Quagsire,Nuohヌオー,water,ground,Water Fish Pokémon,1.4,75,2,0,85,85,95,35,65,65,430,90,1000000,50,70,5120,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
196,Espeon,Eifieエーフィ,psychic,NA,Sun Pokémon,0.9,26.5,2,0,65,60,65,110,130,95,525,45,1000000,88.1,70,8960,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
197,Umbreon,Blackyブラッキー,dark,NA,Moonlight Pokémon,1,27,2,0,65,110,95,65,60,130,525,45,1000000,88.1,35,8960,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
198,Murkrow,Yamikarasuヤミカラス,dark,flying,Darkness Pokémon,0.5,2.1,2,0,85,42,60,91,85,42,405,30,1059860,50,35,5120,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1
199,Slowking,Yadokingヤドキング,water,psychic,Royal Pokémon,2,79.5,2,0,75,80,95,30,100,110,490,70,1000000,50,70,5120,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5
200,Misdreavus,Mumaムウマ,ghost,NA,Screech Pokémon,0.7,1,2,0,60,60,60,85,85,85,435,45,800000,50,35,6400,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
201,Unown,Unknownアンノーン,psychic,NA,Symbol Pokémon,0.5,5,2,0,72,48,48,48,72,48,336,225,1000000,NA,70,10240,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
202,Wobbuffet,Sonansソーナンス,psychic,NA,Patient Pokémon,1.3,28.5,2,0,33,58,190,33,33,58,405,45,1000000,50,70,5120,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
203,Girafarig,Kirinrikiキリンリキ,normal,psychic,Long Neck Pokémon,1.5,41.5,2,0,80,65,70,85,90,65,455,60,1000000,50,70,5120,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1
204,Pineco,Kunugidamaクヌギダマ,bug,NA,Bagworm Pokémon,0.6,7.2,2,0,65,90,50,15,35,35,290,190,1000000,50,70,5120,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
205,Forretress,Foretosフォレトス,bug,steel,Bagworm Pokémon,1.2,125.8,2,0,90,140,75,40,60,60,465,75,1000000,50,70,5120,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1
206,Dunsparce,Nokocchiノコッチ,normal,NA,Land Snake Pokémon,1.5,14,2,0,70,70,100,45,65,65,415,190,1000000,50,70,5120,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
207,Gligar,Gligerグライガー,ground,flying,Flyscorpion Pokémon,1.1,64.8,2,0,75,105,65,85,35,65,430,60,1059860,50,70,5120,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2
208,Steelix,Haganeilハガネール,steel,ground,Iron Snake Pokémon,9.2,400,2,0,125,230,75,30,55,95,610,25,1000000,50,70,6400,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2
209,Snubbull,Buluブルー,fairy,NA,Fairy Pokémon,0.6,7.8,2,0,80,50,60,30,40,40,300,190,800000,24.6,70,5120,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
210,Granbull,Granbuluグランブル,fairy,NA,Fairy Pokémon,1.4,48.7,2,0,120,75,90,45,60,60,450,75,800000,24.6,70,5120,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
211,Qwilfish,Harysenハリーセン,water,poison,Balloon Pokémon,0.5,3.9,2,0,95,85,65,85,55,55,440,45,1000000,50,70,5120,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5
212,Scizor,Hassamハッサム,bug,steel,Pincer Pokémon,1.8,118,2,0,150,140,70,75,65,100,600,25,1000000,50,70,6400,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1
213,Shuckle,Tsubotsuboツボツボ,bug,rock,Mold Pokémon,0.6,20.5,2,0,10,230,20,5,10,230,505,190,1059860,50,70,5120,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2
214,Heracross,Heracrosヘラクロス,bug,fighting,Singlehorn Pokémon,1.5,54,2,0,185,115,80,75,40,105,600,45,1250000,50,70,6400,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1
215,Sneasel,Nyulaニューラ,dark,ice,Sharp Claw Pokémon,0.9,28,2,0,95,55,55,115,35,75,430,60,1059860,50,35,5120,2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1
216,Teddiursa,Himegumaヒメグマ,normal,NA,Little Bear Pokémon,0.6,8.8,2,0,80,50,60,40,50,50,330,120,1000000,50,70,5120,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
217,Ursaring,Ringumaリングマ,normal,NA,Hibernator Pokémon,1.8,125.8,2,0,130,75,90,55,75,75,500,60,1000000,50,70,5120,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
218,Slugma,Magmagマグマッグ,fire,NA,Lava Pokémon,0.7,35,2,0,40,40,40,20,70,40,250,190,1000000,50,70,5120,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
219,Magcargo,Magcargotマグカルゴ,fire,rock,Lava Pokémon,0.8,55,2,0,50,120,60,30,90,80,430,75,1000000,50,70,5120,0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4
220,Swinub,Urimooウリムー,ice,ground,Pig Pokémon,0.4,6.5,2,0,50,40,50,50,30,30,250,225,1250000,50,70,5120,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2
221,Piloswine,Inomooイノムー,ice,ground,Swine Pokémon,1.1,55.8,2,0,100,80,100,50,60,60,450,75,1250000,50,70,5120,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2
222,Corsola,Sunnygoサニーゴ,water,rock,Coral Pokémon,0.6,5,2,0,55,95,65,35,65,95,410,60,800000,24.6,70,5120,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
223,Remoraid,Teppouoテッポウオ,water,NA,Jet Pokémon,0.6,12,2,0,65,35,35,65,65,35,300,190,1000000,50,70,5120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
224,Octillery,Okutankオクタン,water,NA,Jet Pokémon,0.9,28.5,2,0,105,75,75,45,105,75,480,75,1000000,50,70,5120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
225,Delibird,Delibirdデリバード,ice,flying,Delivery Pokémon,0.9,16,2,0,55,45,45,75,65,45,330,45,800000,50,70,5120,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1
226,Mantine,Mantainマンタイン,water,flying,Kite Pokémon,2.1,220,2,0,40,70,85,70,80,140,485,25,1250000,50,70,6400,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5
227,Skarmory,Airmdエアームド,steel,flying,Armor Bird Pokémon,1.7,50.5,2,0,80,140,65,70,40,70,465,25,1250000,50,70,6400,0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1
228,Houndour,Delvilデルビル,dark,fire,Dark Pokémon,0.6,10.8,2,0,60,30,45,65,80,50,330,120,1250000,50,35,5120,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2
229,Houndoom,Hellgarヘルガー,dark,fire,Dark Pokémon,1.4,35,2,0,90,90,75,115,140,90,600,45,1250000,50,35,5120,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2
230,Kingdra,Kingdraキングドラ,water,dragon,Dragon Pokémon,1.8,152,2,0,95,95,75,85,95,95,540,45,1000000,50,70,5120,1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25
231,Phanpy,Gomazouゴマゾウ,ground,NA,Long Nose Pokémon,0.5,33.5,2,0,60,60,90,40,40,40,330,120,1000000,50,70,5120,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
232,Donphan,Donfanドンファン,ground,NA,Armor Pokémon,1.1,120,2,0,120,120,90,50,60,60,500,60,1000000,50,70,5120,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
233,Porygon2,Porygon2ポリゴン２,normal,NA,Virtual Pokémon,0.6,32.5,2,0,80,90,85,60,105,95,515,45,1000000,NA,70,5120,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
234,Stantler,Odoshishiオドシシ,normal,NA,Big Horn Pokémon,1.4,71.2,2,0,95,62,73,85,85,65,465,45,1250000,50,70,5120,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
235,Smeargle,Dobleドーブル,normal,NA,Painter Pokémon,1.2,58,2,0,20,35,55,75,20,45,250,45,800000,50,70,5120,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
